ID_Venta,Producto,Categoria,Precio,Cantidad,Region,Descuento,Almacen,Metodo_Pago,Dia,Mes,Agno
69,Laptop,Electronica,970,4,Asia,29.28,2,Cheque,31,3,2024
70,Smartphone,Electronica,690,8,Sudamerica,15.49,8,Efectivo,1,4,2024
71,"Televisor 55""",Electronica,310,6,Europa,9.69,3,Transferencia Bancaria,2,4,2024
72,Aspiradora,Electrodomestico,155,7,Norteamerica,14.93,5,Tarjeta de Credito,3,4,2024
73,Lavadora,Electrodomestico,810,2,Asia,8.12,7,Efectivo,4,4,2024
74,"Televisor 55""",Electronica,400,2,Norteamerica,13.17,9,PayPal,5,4,2024
75,Smartphone,Electronica,700,5,Europa,2.35,3,Tarjeta de Credito,6,4,2024
76,Refrigerador,Electrodomestico,1200,1,Sudamerica,0.76,1,Efectivo,7,4,2024
77,Laptop,Electronica,950,3,Asia,28.88,4,Efectivo,8,4,2024
78,Lavadora,Electrodomestico,543.11,1,Norteamerica,14.93,8,Transferencia Bancaria,9,4,2024
79,Lavadora,Electrodomestico,543.11,3,Asia,20.88,6,Transferencia Bancaria,10,4,2024
1,"Televisor 55""",Electronica,400,2,Norteamerica,12.27,7,PayPal,15,1,2024
2,Smartphone,Electronica,700,5,Europa,5.2,2,Efectivo,16,1,2024
3,Refrigerador,Electrodomestico,650,1,Sudamerica,4.69,10,Efectivo,17,1,2024
4,Laptop,Electronica,950,3,Asia,7.51,6,Transferencia Bancaria,18,1,2024
5,Lavadora,Electrodomestico,543.11,1,Norteamerica,16.48,2,Tarjeta de Credito,19,1,2024
6,"Televisor 55""",Electronica,650,4,Europa,21.44,8,Tarjeta de Credito,20,1,2024
7,Aspiradora,Electrodomestico,543.11,10,Sudamerica,19.81,3,Cheque,21,1,2024
8,Smartphone,Electronica,650,6,Norteamerica,8.4,5,Transferencia Bancaria,22,1,2024
9,Laptop,Electronica,1000,2,Asia,28.65,7,Cheque,23,1,2024
10,Microondas,Electrodomestico,120,8,Europa,22.14,9,Transferencia Bancaria,24,1,2024
11,"Televisor 55""",Electronica,450,2,Sudamerica,16.63,3,PayPal,25,1,2024
12,Lavadora,Electrodomestico,543.11,3,Asia,18.35,7,Efectivo,26,1,2024
13,Smartphone,Electronica,750,7,Norteamerica,12.59,9,PayPal,27,1,2024
14,Laptop,Electronica,850,1,Europa,7.43,3,Transferencia Bancaria,28,1,2024
15,Refrigerador,Electrodomestico,650,1,Sudamerica,10.68,1,Efectivo,29,1,2024
16,Microondas,Electrodomestico,100,9,Asia,22.74,4,Tarjeta de Credito,30,1,2024
17,"Televisor 55""",Electronica,300,5,Norteamerica,0.43,8,Tarjeta de Credito,31,1,2024
18,Tablet,Electronica,543.11,4,Europa,3.48,6,Cheque,1,2,2024
19,Lavadora,Electrodomestico,750,2,Asia,1.38,7,Transferencia Bancaria,2,2,2024
20,Refrigerador,Electrodomestico,543.11,1,Norteamerica,1.22,2,Transferencia Bancaria,3,2,2024
21,Smartphone,Electronica,680,6,Sudamerica,25.66,2,Tarjeta de Credito,4,2,2024
22,Laptop,Electronica,1050,2,Europa,21.11,5,PayPal,5,2,2024
23,Aspiradora,Electrodomestico,160,8,Norteamerica,14.23,1,Efectivo,6,2,2024
24,"Televisor 55""",Electronica,700,3,Asia,2.94,3,PayPal,7,2,2024
25,Tablet,Electronica,420,5,Sudamerica,14.75,1,PayPal,8,2,2024
26,Smartphone,Electronica,780,7,Europa,14.2,4,Tarjeta de Credito,9,2,2024
27,Microondas,Electrodomestico,543.11,9,Asia,5.2,10,Tarjeta de Credito,10,2,2024
28,"Televisor 55""",Electronica,500,3,Norteamerica,13.02,6,Tarjeta de Credito,11,2,2024
29,Refrigerador,Electrodomestico,650,1,Europa,11.96,2,Cheque,12,2,2024
30,Laptop,Electronica,970,4,Asia,18.48,8,PayPal,13,2,2024
31,Smartphone,Electronica,690,8,Sudamerica,19.05,2,Transferencia Bancaria,14,2,2024
32,"Televisor 55""",Electronica,310,6,Europa,1.36,3,Efectivo,15,2,2024
33,Aspiradora,Electrodomestico,155,7,Norteamerica,11.24,7,Cheque,16,2,2024
34,Lavadora,Electrodomestico,543.11,2,Asia,18.78,9,Transferencia Bancaria,17,2,2024
35,Microondas,Electrodomestico,543.11,10,Sudamerica,15.09,3,PayPal,18,2,2024
36,Smartphone,Electronica,680,6,Sudamerica,25.69,1,Tarjeta de Credito,4,2,2024
37,Laptop,Electronica,1050,2,Europa,19.76,4,PayPal,5,2,2024
38,Aspiradora,Electrodomestico,160,8,Norteamerica,4.89,8,Efectivo,6,2,2024
39,"Televisor 55""",Electronica,700,3,Asia,2.12,6,Cheque,7,2,2024
40,Tablet,Electronica,420,5,Sudamerica,19.27,5,Cheque,8,2,2024
41,Smartphone,Electronica,780,7,Europa,0.8,7,Efectivo,9,2,2024
42,Microondas,Electrodomestico,543.11,9,Asia,17.57,4,Transferencia Bancaria,10,2,2024
43,"Televisor 55""",Electronica,500,3,Norteamerica,28.21,3,Transferencia Bancaria,11,2,2024
44,Smartphone,Electronica,780,7,Europa,17.26,7,Cheque,9,2,2024
45,Microondas,Electrodomestico,543.11,9,Asia,11.65,20,Cheque,10,2,2024
46,"Televisor 55""",Electronica,500,3,Norteamerica,14.93,4,Tarjeta de Credito,11,2,2024
47,Refrigerador,Electrodomestico,1250,1,Europa,13.75,3,Transferencia Bancaria,12,2,2024
48,Laptop,Electronica,970,4,Asia,16.37,6,Efectivo,13,2,2024
49,Smartphone,Electronica,543.11,8,Sudamerica,28.24,23,Transferencia Bancaria,14,2,2024
50,"Televisor 55""",Electronica,310,6,Europa,11.58,70,Tarjeta de Credito,15,2,2024
51,Aspiradora,Electrodomestico,155,7,Norteamerica,28.84,5,Cheque,16,2,2024
52,Lavadora,Electrodomestico,810,2,Asia,27.16,3,Cheque,17,2,2024
53,"Televisor 55""",Electronica,400,2,Norteamerica,5.87,4,Tarjeta de Credito,15,3,2024
54,Smartphone,Electronica,700,5,Europa,2.08,2,Efectivo,16,3,2024
55,Refrigerador,Electrodomestico,1200,1,Sudamerica,3.02,5,Cheque,17,3,2024
56,Laptop,Electronica,950,3,Asia,0.55,6,PayPal,18,3,2024
57,Lavadora,Electrodomestico,543.11,1,Norteamerica,2.83,5,Cheque,19,3,2024
58,"Televisor 55""",Electronica,650,4,Europa,20.49,7,PayPal,20,3,2024
59,Aspiradora,Electrodomestico,150,10,Sudamerica,2.14,4,Tarjeta de Credito,21,3,2024
60,Smartphone,Electronica,650,6,Norteamerica,9.57,3,Tarjeta de Credito,22,3,2024
61,Laptop,Electronica,1000,2,Asia,25.35,7,Cheque,23,3,2024
62,Microondas,Electrodomestico,120,8,Europa,0.7,20,Transferencia Bancaria,24,3,2024
63,"Televisor 55""",Electronica,450,2,Sudamerica,24.43,4,PayPal,25,3,2024
64,Lavadora,Electrodomestico,543.11,3,Asia,8.46,3,Efectivo,26,3,2024
65,Smartphone,Electronica,750,7,Norteamerica,3.54,6,Cheque,27,3,2024
66,Microondas,Electrodomestico,543.11,9,Asia,20.9,23,Efectivo,28,3,2024
67,"Televisor 55""",Electronica,500,3,Norteamerica,18.87,70,Cheque,29,3,2024
68,Refrigerador,Electrodomestico,1250,1,Europa,26.32,5,Transferencia Bancaria,30,3,2024
69,Laptop,Electronica,970,4,Asia,14.93,3,Transferencia Bancaria,31,3,2024
70,Smartphone,Electronica,690,8,Sudamerica,24.1,4,Transferencia Bancaria,1,4,2024
71,"Televisor 55""",Electronica,310,6,Europa,8.46,2,Transferencia Bancaria,2,4,2024
72,Aspiradora,Electrodomestico,155,7,Norteamerica,5.32,5,Tarjeta de Credito,3,4,2024
73,Lavadora,Electrodomestico,810,2,Asia,22.52,6,Tarjeta de Credito,4,4,2024
74,"Televisor 55""",Electronica,400,2,Norteamerica,24.21,5,PayPal,5,4,2024
75,Smartphone,Electronica,700,5,Europa,29.72,7,Efectivo,6,4,2024
76,Refrigerador,Electrodomestico,1200,1,Sudamerica,12.38,4,Cheque,7,4,2024
77,Laptop,Electronica,950,3,Asia,11.16,3,Cheque,8,4,2024
78,Lavadora,Electrodomestico,543.11,1,Norteamerica,23.29,7,Tarjeta de Credito,9,4,2024
79,Lavadora,Electrodomestico,543.11,3,Asia,14.93,20,Cheque,10,4,2024
1,"Televisor 55""",Electronica,400,2,Norteamerica,27.92,4,Tarjeta de Credito,15,1,2024
2,Smartphone,Electronica,700,5,Europa,25.75,3,PayPal,16,1,2024
3,Refrigerador,Electrodomestico,650,1,Sudamerica,12.87,6,Efectivo,17,1,2024
4,Laptop,Electronica,950,3,Asia,22.53,23,PayPal,18,1,2024
5,Lavadora,Electrodomestico,543.11,1,Norteamerica,22.64,70,Transferencia Bancaria,19,1,2024
6,"Televisor 55""",Electronica,650,4,Europa,3.09,5,Transferencia Bancaria,20,1,2024
7,Aspiradora,Electrodomestico,543.11,10,Sudamerica,27.08,3,Transferencia Bancaria,21,1,2024
8,Smartphone,Electronica,650,6,Norteamerica,15.16,4,PayPal,22,1,2024
9,Laptop,Electronica,1000,2,Asia,24.79,2,Cheque,23,1,2024
10,Microondas,Electrodomestico,120,8,Europa,9.6,5,Efectivo,24,1,2024
11,"Televisor 55""",Electronica,450,2,Sudamerica,26.87,6,Transferencia Bancaria,25,1,2024
12,Lavadora,Electrodomestico,543.11,3,Asia,11.68,5,Transferencia Bancaria,26,1,2024
13,Smartphone,Electronica,750,7,Norteamerica,0.33,7,Transferencia Bancaria,27,1,2024
14,Laptop,Electronica,850,1,Europa,27.16,4,Efectivo,28,1,2024
15,Refrigerador,Electrodomestico,650,1,Sudamerica,2.74,3,Transferencia Bancaria,29,1,2024
16,Microondas,Electrodomestico,100,9,Asia,9.58,7,Efectivo,30,1,2024
17,"Televisor 55""",Electronica,300,5,Norteamerica,28.5,20,Transferencia Bancaria,31,1,2024
18,Tablet,Electronica,543.11,4,Europa,28.52,4,PayPal,1,2,2024
19,Lavadora,Electrodomestico,750,2,Asia,17.2,3,PayPal,2,2,2024
20,Refrigerador,Electrodomestico,543.11,1,Norteamerica,18.96,6,Efectivo,3,2,2024
21,Smartphone,Electronica,680,6,Sudamerica,13.45,23,PayPal,4,2,2024
22,Laptop,Electronica,1050,2,Europa,8.8,70,Efectivo,5,2,2024
23,Aspiradora,Electrodomestico,160,8,Norteamerica,9.86,5,PayPal,6,2,2024
24,"Televisor 55""",Electronica,700,3,Asia,20.18,3,PayPal,7,2,2024
25,Tablet,Electronica,420,5,Sudamerica,22.57,4,Efectivo,8,2,2024
26,Smartphone,Electronica,780,7,Europa,23.75,2,Cheque,9,2,2024
27,Microondas,Electrodomestico,543.11,9,Asia,23.69,5,PayPal,10,2,2024
28,"Televisor 55""",Electronica,500,3,Norteamerica,2.74,8,Transferencia Bancaria,11,2,2024
29,Refrigerador,Electrodomestico,650,1,Europa,14.83,2,Cheque,12,2,2024
30,Laptop,Electronica,970,4,Asia,1.73,3,Desconocido,13,2,2024
31,Smartphone,Electronica,690,8,Sudamerica,16.49,7,Cheque,14,2,2024
32,"Televisor 55""",Electronica,310,6,Europa,13.25,9,Tarjeta de Credito,15,2,2024
33,Aspiradora,Electrodomestico,155,7,Norteamerica,26.63,3,Tarjeta de Credito,16,2,2024
34,Lavadora,Electrodomestico,543.11,2,Asia,10.53,1,PayPal,17,2,2024
35,Microondas,Electrodomestico,543.11,10,Sudamerica,3.51,4,PayPal,18,2,2024
36,Smartphone,Electronica,680,6,Sudamerica,4.29,8,Transferencia Bancaria,4,2,2024
37,Laptop,Electronica,1050,2,Europa,22.85,6,Cheque,5,2,2024
38,Aspiradora,Electrodomestico,160,8,Norteamerica,18.55,7,Tarjeta de Credito,6,2,2024
39,"Televisor 55""",Electronica,700,3,Asia,3.03,2,PayPal,7,2,2024
40,Tablet,Electronica,420,5,Sudamerica,2.52,2,Cheque,8,2,2024
41,Smartphone,Electronica,780,7,Europa,21.03,5,PayPal,9,2,2024
42,Microondas,Electrodomestico,543.11,9,Asia,2.18,1,PayPal,10,2,2024
43,"Televisor 55""",Electronica,500,3,Norteamerica,24.66,3,Tarjeta de Credito,11,2,2024
44,Smartphone,Electronica,780,7,Europa,21.19,1,Tarjeta de Credito,9,2,2024
45,Microondas,Electrodomestico,543.11,9,Asia,2.44,3,PayPal,10,2,2024
46,"Televisor 55""",Electronica,500,3,Norteamerica,2.55,8,Efectivo,11,2,2024
47,Refrigerador,Electrodomestico,1250,1,Europa,29.6,2,PayPal,12,2,2024
48,Laptop,Electronica,970,4,Asia,11.23,3,PayPal,13,2,2024
49,Smartphone,Electronica,543.11,8,Sudamerica,11.12,7,Transferencia Bancaria,14,2,2024
50,"Televisor 55""",Electronica,310,6,Europa,24.38,9,Transferencia Bancaria,15,2,2024
51,Aspiradora,Electrodomestico,155,7,Norteamerica,28.42,3,Transferencia Bancaria,16,2,2024
52,Lavadora,Electrodomestico,810,2,Asia,29.58,1,Efectivo,17,2,2024
53,"Televisor 55""",Electronica,400,2,Norteamerica,22.6,4,Efectivo,15,3,2024
54,Smartphone,Electronica,700,5,Europa,11.29,8,PayPal,16,3,2024
55,Refrigerador,Electrodomestico,1200,1,Sudamerica,2.51,6,Transferencia Bancaria,17,3,2024
56,Laptop,Electronica,950,3,Asia,23.31,7,Desconocido,18,3,2024
57,Lavadora,Electrodomestico,543.11,1,Norteamerica,16.75,2,Tarjeta de Credito,19,3,2024
58,"Televisor 55""",Electronica,650,4,Europa,12.73,2,PayPal,20,3,2024
59,Aspiradora,Electrodomestico,150,10,Sudamerica,27.19,5,Cheque,21,3,2024
60,Smartphone,Electronica,650,6,Norteamerica,14.93,1,PayPal,22,3,2024
61,Laptop,Electronica,1000,2,Asia,14.78,3,Cheque,23,3,2024
62,Microondas,Electrodomestico,120,8,Europa,0.34,1,Transferencia Bancaria,24,3,2024
63,"Televisor 55""",Electronica,450,2,Sudamerica,14.06,3,Cheque,25,3,2024
64,Lavadora,Electrodomestico,543.11,3,Asia,1.69,1,Transferencia Bancaria,26,3,2024
65,Smartphone,Electronica,750,7,Norteamerica,3.56,9,Tarjeta de Credito,27,3,2024
66,Microondas,Electrodomestico,543.11,9,Asia,3.53,5,Cheque,28,3,2024
67,"Televisor 55""",Electronica,500,3,Norteamerica,19.48,4,PayPal,29,3,2024
68,Refrigerador,Electrodomestico,1250,1,Europa,22.38,2,Transferencia Bancaria,30,3,2024
69,Laptop,Electronica,970,4,Asia,17.5,1,PayPal,31,3,2024
70,Smartphone,Electronica,690,8,Sudamerica,28.87,6,Efectivo,1,4,2024
71,"Televisor 55""",Electronica,310,6,Europa,11.25,2,Transferencia Bancaria,2,4,2024
72,Aspiradora,Electrodomestico,155,7,Norteamerica,8.57,8,Cheque,3,4,2024
73,Lavadora,Electrodomestico,810,2,Asia,26.06,3,Transferencia Bancaria,4,4,2024
74,"Televisor 55""",Electronica,400,2,Norteamerica,6.71,5,PayPal,5,4,2024
75,Smartphone,Electronica,700,5,Europa,28.9,7,Tarjeta de Credito,6,4,2024
76,Refrigerador,Electrodomestico,1200,1,Sudamerica,0.36,9,Transferencia Bancaria,7,4,2024
77,Laptop,Electronica,950,3,Asia,29.1,3,Cheque,8,4,2024
78,Lavadora,Electrodomestico,543.11,1,Norteamerica,1.29,1,Efectivo,9,4,2024
79,Lavadora,Electrodomestico,543.11,3,Asia,26.73,4,Tarjeta de Credito,10,4,2024
1,"Televisor 55""",Electronica,400,2,Norteamerica,15.83,8,Efectivo,15,1,2024
2,Smartphone,Electronica,700,5,Europa,29.79,1,Transferencia Bancaria,16,1,2024
3,Refrigerador,Electrodomestico,650,1,Sudamerica,2.21,9,PayPal,17,1,2024
4,Laptop,Electronica,950,3,Asia,16.62,5,PayPal,18,1,2024
5,Lavadora,Electrodomestico,543.11,1,Norteamerica,29.08,4,Cheque,19,1,2024
6,"Televisor 55""",Electronica,650,4,Europa,15.69,2,PayPal,20,1,2024
7,Aspiradora,Electrodomestico,543.11,10,Sudamerica,18.88,1,Tarjeta de Credito,21,1,2024
8,Smartphone,Electronica,650,6,Norteamerica,20.87,6,Desconocido,22,1,2024
9,Laptop,Electronica,1000,2,Asia,13.64,2,Cheque,23,1,2024
10,Microondas,Electrodomestico,120,8,Europa,18.83,8,Transferencia Bancaria,24,1,2024
11,"Televisor 55""",Electronica,450,2,Sudamerica,17.53,3,Transferencia Bancaria,25,1,2024
12,Lavadora,Electrodomestico,543.11,3,Asia,27.03,5,PayPal,26,1,2024
13,Smartphone,Electronica,750,7,Norteamerica,1.36,7,Efectivo,27,1,2024
14,Laptop,Electronica,850,1,Europa,8.43,9,Transferencia Bancaria,28,1,2024
15,Refrigerador,Electrodomestico,650,1,Sudamerica,28.51,3,PayPal,29,1,2024
16,Microondas,Electrodomestico,100,9,Asia,26.71,1,Cheque,30,1,2024
17,"Televisor 55""",Electronica,300,5,Norteamerica,13.67,4,PayPal,31,1,2024
18,Tablet,Electronica,543.11,4,Europa,18.6,8,Transferencia Bancaria,1,2,2024
19,Lavadora,Electrodomestico,750,2,Asia,8.32,1,Cheque,2,2,2024
20,Refrigerador,Electrodomestico,543.11,1,Norteamerica,5.64,9,PayPal,3,2,2024
21,Smartphone,Electronica,680,6,Sudamerica,13.91,5,Tarjeta de Credito,4,2,2024
22,Laptop,Electronica,1050,2,Europa,10.6,4,Cheque,5,2,2024
23,Aspiradora,Electrodomestico,160,8,Norteamerica,17.51,2,Tarjeta de Credito,6,2,2024
24,"Televisor 55""",Electronica,700,3,Asia,2.33,1,Efectivo,7,2,2024
25,Tablet,Electronica,420,5,Sudamerica,29.23,6,Cheque,8,2,2024
26,Smartphone,Electronica,780,7,Europa,29.59,2,Tarjeta de Credito,9,2,2024
27,Microondas,Electrodomestico,543.11,9,Asia,20.94,8,Transferencia Bancaria,10,2,2024
28,"Televisor 55""",Electronica,500,3,Norteamerica,16.08,3,Transferencia Bancaria,11,2,2024
29,Refrigerador,Electrodomestico,650,1,Europa,9.29,5,Efectivo,12,2,2024
30,Laptop,Electronica,970,4,Asia,24.41,7,Cheque,13,2,2024
31,Smartphone,Electronica,690,8,Sudamerica,20.54,9,Cheque,14,2,2024
32,"Televisor 55""",Electronica,310,6,Europa,4.88,3,Cheque,15,2,2024
33,Aspiradora,Electrodomestico,155,7,Norteamerica,27.33,1,Efectivo,16,2,2024
34,Lavadora,Electrodomestico,543.11,2,Asia,24.68,4,Cheque,17,2,2024
35,Microondas,Electrodomestico,543.11,10,Sudamerica,28.49,8,Transferencia Bancaria,18,2,2024
36,Smartphone,Electronica,680,6,Sudamerica,21.77,1,Tarjeta de Credito,4,2,2024
37,Laptop,Electronica,1050,2,Europa,18.4,9,Transferencia Bancaria,5,2,2024
38,Aspiradora,Electrodomestico,160,8,Norteamerica,12.55,5,Transferencia Bancaria,6,2,2024
39,"Televisor 55""",Electronica,700,3,Asia,27.98,4,Desconocido,7,2,2024
40,Tablet,Electronica,420,5,Sudamerica,25.98,2,Transferencia Bancaria,8,2,2024
41,Smartphone,Electronica,780,7,Europa,1.36,1,Efectivo,9,2,2024
42,Microondas,Electrodomestico,543.11,9,Asia,0.79,6,Tarjeta de Credito,10,2,2024
43,"Televisor 55""",Electronica,500,3,Norteamerica,11.29,2,Transferencia Bancaria,11,2,2024
44,Smartphone,Electronica,780,7,Europa,24.32,8,PayPal,9,2,2024
45,Microondas,Electrodomestico,543.11,9,Asia,29.62,3,Transferencia Bancaria,10,2,2024
46,"Televisor 55""",Electronica,500,3,Norteamerica,4.51,5,Efectivo,11,2,2024
47,Refrigerador,Electrodomestico,1250,1,Europa,17.82,7,Cheque,12,2,2024
48,Laptop,Electronica,970,4,Asia,11.43,9,Transferencia Bancaria,13,2,2024
49,Smartphone,Electronica,543.11,8,Sudamerica,29.1,3,Cheque,14,2,2024
50,"Televisor 55""",Electronica,310,6,Europa,25.26,1,PayPal,15,2,2024
51,Aspiradora,Electrodomestico,155,7,Norteamerica,25.15,4,Transferencia Bancaria,16,2,2024
52,Lavadora,Electrodomestico,810,2,Asia,14.06,8,Tarjeta de Credito,17,2,2024
53,"Televisor 55""",Electronica,400,2,Norteamerica,12.44,10,Cheque,15,3,2024
54,Smartphone,Electronica,700,5,Europa,8.2,6,PayPal,16,3,2024
55,Refrigerador,Electrodomestico,1200,1,Sudamerica,1.69,2,Tarjeta de Credito,17,3,2024
56,Laptop,Electronica,950,3,Asia,25.94,8,Tarjeta de Credito,18,3,2024
57,Lavadora,Electrodomestico,543.11,1,Norteamerica,24.39,2,Tarjeta de Credito,19,3,2024
58,"Televisor 55""",Electronica,650,4,Europa,29.99,3,Tarjeta de Credito,20,3,2024
59,Aspiradora,Electrodomestico,150,10,Sudamerica,29.9,7,Transferencia Bancaria,21,3,2024
60,Smartphone,Electronica,650,6,Norteamerica,16.66,9,Transferencia Bancaria,22,3,2024
61,Laptop,Electronica,1000,2,Asia,23.07,3,Transferencia Bancaria,23,3,2024
62,Microondas,Electrodomestico,120,8,Europa,28.34,1,PayPal,24,3,2024
63,"Televisor 55""",Electronica,450,2,Sudamerica,25.49,4,PayPal,25,3,2024
64,Lavadora,Electrodomestico,543.11,3,Asia,7.42,8,PayPal,26,3,2024
65,Smartphone,Electronica,750,7,Norteamerica,13.52,6,Efectivo,27,3,2024
66,Microondas,Electrodomestico,543.11,9,Asia,3.87,7,PayPal,28,3,2024
67,"Televisor 55""",Electronica,500,3,Norteamerica,28.62,2,Transferencia Bancaria,29,3,2024
68,Refrigerador,Electrodomestico,1250,1,Europa,18.19,2,Transferencia Bancaria,30,3,2024
69,Laptop,Electronica,970,4,Asia,6.86,5,Efectivo,31,3,2024
70,Smartphone,Electronica,690,8,Sudamerica,20.15,1,Efectivo,1,4,2024
71,"Televisor 55""",Electronica,310,6,Europa,18.54,3,PayPal,2,4,2024
72,Aspiradora,Electrodomestico,155,7,Norteamerica,10.74,1,Cheque,3,4,2024
73,Lavadora,Electrodomestico,810,2,Asia,3.41,3,Efectivo,4,4,2024
74,"Televisor 55""",Electronica,400,2,Norteamerica,20.15,2,Desconocido,5,4,2024
75,Smartphone,Electronica,700,5,Europa,15.61,5,Transferencia Bancaria,6,4,2024
76,Refrigerador,Electrodomestico,1200,1,Sudamerica,23.17,1,Tarjeta de Credito,7,4,2024
77,Laptop,Electronica,950,3,Asia,15.6,3,Transferencia Bancaria,8,4,2024
78,Lavadora,Electrodomestico,543.11,1,Norteamerica,25.57,1,Transferencia Bancaria,9,4,2024
79,Lavadora,Electrodomestico,543.11,3,Asia,16.56,4,Efectivo,10,4,2024
1,"Televisor 55""",Electronica,400,2,Norteamerica,16.83,10,Efectivo,15,1,2024
2,Smartphone,Electronica,700,5,Europa,26.3,6,Tarjeta de Credito,16,1,2024
3,Refrigerador,Electrodomestico,650,1,Sudamerica,12.1,2,Transferencia Bancaria,17,1,2024
4,Laptop,Electronica,950,3,Asia,4.02,8,Tarjeta de Credito,18,1,2024
5,Lavadora,Electrodomestico,543.11,1,Norteamerica,0.86,2,Cheque,19,1,2024
6,"Televisor 55""",Electronica,650,4,Europa,22.65,3,Tarjeta de Credito,20,1,2024
7,Aspiradora,Electrodomestico,543.11,10,Sudamerica,18.61,7,PayPal,21,1,2024
8,Smartphone,Electronica,650,6,Norteamerica,14.93,1,Tarjeta de Credito,22,1,2024
9,Laptop,Electronica,1000,2,Asia,6.39,1,PayPal,23,1,2024
10,Microondas,Electrodomestico,120,8,Europa,4.09,9,PayPal,24,1,2024
11,"Televisor 55""",Electronica,450,2,Sudamerica,0.44,5,PayPal,25,1,2024
12,Lavadora,Electrodomestico,543.11,3,Asia,10.52,4,Cheque,26,1,2024
13,Smartphone,Electronica,750,7,Norteamerica,17.7,2,Tarjeta de Credito,27,1,2024
14,Laptop,Electronica,850,1,Europa,11.77,1,Tarjeta de Credito,28,1,2024
15,Refrigerador,Electrodomestico,650,1,Sudamerica,13.12,6,Cheque,29,1,2024
16,Microondas,Electrodomestico,100,9,Asia,27.12,2,Transferencia Bancaria,30,1,2024
17,"Televisor 55""",Electronica,300,5,Norteamerica,10.45,8,Efectivo,31,1,2024
18,Tablet,Electronica,543.11,4,Europa,15.42,3,Tarjeta de Credito,1,2,2024
19,Lavadora,Electrodomestico,750,2,Asia,23.51,5,Efectivo,2,2,2024
20,Refrigerador,Electrodomestico,543.11,1,Norteamerica,11.9,7,Cheque,3,2,2024
21,Smartphone,Electronica,680,6,Sudamerica,18.66,9,Transferencia Bancaria,4,2,2024
22,Laptop,Electronica,1050,2,Europa,25.87,3,Transferencia Bancaria,5,2,2024
23,Aspiradora,Electrodomestico,160,8,Norteamerica,28.49,1,Transferencia Bancaria,6,2,2024
24,"Televisor 55""",Electronica,700,3,Asia,14.93,4,Cheque,7,2,2024
25,Tablet,Electronica,420,5,Sudamerica,27.8,8,PayPal,8,2,2024
26,Smartphone,Electronica,780,7,Europa,14.76,6,PayPal,9,2,2024
27,Microondas,Electrodomestico,543.11,9,Asia,7.75,7,Efectivo,10,2,2024
28,"Televisor 55""",Electronica,500,3,Norteamerica,13.77,2,PayPal,11,2,2024
29,Refrigerador,Electrodomestico,650,1,Europa,29.4,10,PayPal,12,2,2024
30,Laptop,Electronica,970,4,Asia,14.78,6,Transferencia Bancaria,13,2,2024
31,Smartphone,Electronica,690,8,Sudamerica,9.86,2,Transferencia Bancaria,14,2,2024
32,"Televisor 55""",Electronica,310,6,Europa,19,8,Efectivo,15,2,2024
33,Aspiradora,Electrodomestico,155,7,Norteamerica,7.2,3,Tarjeta de Credito,16,2,2024
34,Lavadora,Electrodomestico,543.11,2,Asia,2.28,5,Efectivo,17,2,2024
35,Microondas,Electrodomestico,543.11,10,Sudamerica,3.87,7,Efectivo,18,2,2024
36,Smartphone,Electronica,680,6,Sudamerica,3.84,9,Cheque,4,2,2024
37,Laptop,Electronica,1050,2,Europa,4.56,3,Cheque,5,2,2024
38,Aspiradora,Electrodomestico,160,8,Norteamerica,4.16,7,Efectivo,6,2,2024
39,"Televisor 55""",Electronica,700,3,Asia,19.23,9,Efectivo,7,2,2024
40,Tablet,Electronica,420,5,Sudamerica,5.46,3,Efectivo,8,2,2024
41,Smartphone,Electronica,780,7,Europa,10.37,1,PayPal,9,2,2024
42,Microondas,Electrodomestico,543.11,9,Asia,26.9,4,Cheque,10,2,2024
43,"Televisor 55""",Electronica,500,3,Norteamerica,14.22,8,Efectivo,11,2,2024
44,Smartphone,Electronica,780,7,Europa,20.03,6,Transferencia Bancaria,9,2,2024
45,Microondas,Electrodomestico,543.11,9,Asia,5.17,7,Transferencia Bancaria,10,2,2024
46,"Televisor 55""",Electronica,500,3,Norteamerica,5.77,2,PayPal,11,2,2024
47,Refrigerador,Electrodomestico,1250,1,Europa,1.23,2,PayPal,12,2,2024
48,Laptop,Electronica,970,4,Asia,5.07,5,Tarjeta de Credito,13,2,2024
49,Smartphone,Electronica,543.11,8,Sudamerica,8.36,1,Tarjeta de Credito,14,2,2024
50,"Televisor 55""",Electronica,310,6,Europa,5.31,3,Tarjeta de Credito,15,2,2024
51,Aspiradora,Electrodomestico,155,7,Norteamerica,2.66,1,PayPal,16,2,2024
52,Lavadora,Electrodomestico,810,2,Asia,3.62,4,PayPal,17,2,2024
53,"Televisor 55""",Electronica,400,2,Norteamerica,13.82,10,PayPal,15,3,2024
54,Smartphone,Electronica,700,5,Europa,6.19,6,Transferencia Bancaria,16,3,2024
55,Refrigerador,Electrodomestico,1200,1,Sudamerica,10.93,2,PayPal,17,3,2024
56,Laptop,Electronica,950,3,Asia,15.1,8,Transferencia Bancaria,18,3,2024
57,Lavadora,Electrodomestico,543.11,1,Norteamerica,20.71,2,Tarjeta de Credito,19,3,2024
58,"Televisor 55""",Electronica,650,4,Europa,1.18,3,Tarjeta de Credito,20,3,2024
